model_id,prompt_id,task_type,language,stability_type,run_id_a,run_id_b,stability_value
gemma3:1b,1,summarization,EN,open_text_cosine,1,2,0.9677271842956544
gemma3:1b,1,summarization,DE,open_text_cosine,1,2,0.979832410812378
gemma3:1b,1,summarization,TR,open_text_cosine,1,2,0.8118925094604492
gemma3:1b,2,summarization,EN,open_text_cosine,1,2,0.7778804302215576
gemma3:1b,2,summarization,DE,open_text_cosine,1,2,0.9954953193664552
gemma3:1b,2,summarization,TR,open_text_cosine,1,2,0.8580061197280884
gemma3:1b,3,summarization,EN,open_text_cosine,1,2,0.966782569885254
gemma3:1b,3,summarization,DE,open_text_cosine,1,2,0.8267919421195984
gemma3:1b,3,summarization,TR,open_text_cosine,1,2,0.8864061832427979
gemma3:1b,4,summarization,EN,open_text_cosine,1,2,0.9422009587287904
gemma3:1b,4,summarization,DE,open_text_cosine,1,2,0.8810639381408691
gemma3:1b,4,summarization,TR,open_text_cosine,1,2,0.9656620025634766
gemma3:1b,17,creative,EN,open_text_cosine,1,2,0.8693572282791138
gemma3:1b,17,creative,DE,open_text_cosine,1,2,0.8243115544319153
gemma3:1b,17,creative,TR,open_text_cosine,1,2,0.7900764346122742
gemma3:1b,18,creative,EN,open_text_cosine,1,2,0.994167685508728
gemma3:1b,18,creative,DE,open_text_cosine,1,2,0.7975839376449585
gemma3:1b,18,creative,TR,open_text_cosine,1,2,0.9162079095840454
gemma3:1b,19,creative,EN,open_text_cosine,1,2,0.6254587173461914
gemma3:1b,19,creative,DE,open_text_cosine,1,2,1.0
gemma3:1b,19,creative,TR,open_text_cosine,1,2,0.5230108499526978
gemma3:1b,20,creative,EN,open_text_cosine,1,2,0.7667832374572754
gemma3:1b,20,creative,DE,open_text_cosine,1,2,0.8763457536697388
gemma3:1b,20,creative,TR,open_text_cosine,1,2,1.000000238418579
gemma3:4b,1,summarization,EN,open_text_cosine,1,2,0.9999998807907104
gemma3:4b,1,summarization,DE,open_text_cosine,1,2,0.9667178392410278
gemma3:4b,1,summarization,TR,open_text_cosine,1,2,1.0
gemma3:4b,2,summarization,EN,open_text_cosine,1,2,0.9752264618873596
gemma3:4b,2,summarization,DE,open_text_cosine,1,2,0.8602133393287659
gemma3:4b,2,summarization,TR,open_text_cosine,1,2,0.9188485145568848
gemma3:4b,3,summarization,EN,open_text_cosine,1,2,0.9135181903839112
gemma3:4b,3,summarization,DE,open_text_cosine,1,2,1.000000238418579
gemma3:4b,3,summarization,TR,open_text_cosine,1,2,1.0000001192092896
gemma3:4b,4,summarization,EN,open_text_cosine,1,2,0.9701679348945618
gemma3:4b,4,summarization,DE,open_text_cosine,1,2,0.993184208869934
gemma3:4b,4,summarization,TR,open_text_cosine,1,2,0.8837336301803589
gemma3:4b,17,creative,EN,open_text_cosine,1,2,0.8745020031929016
gemma3:4b,17,creative,DE,open_text_cosine,1,2,0.9646025896072388
gemma3:4b,17,creative,TR,open_text_cosine,1,2,0.7905092239379883
gemma3:4b,18,creative,EN,open_text_cosine,1,2,0.9571701288223268
gemma3:4b,18,creative,DE,open_text_cosine,1,2,0.8060083389282227
gemma3:4b,18,creative,TR,open_text_cosine,1,2,0.9349759817123412
gemma3:4b,19,creative,EN,open_text_cosine,1,2,1.0
gemma3:4b,19,creative,DE,open_text_cosine,1,2,0.6221659183502197
gemma3:4b,19,creative,TR,open_text_cosine,1,2,1.0
gemma3:4b,20,creative,EN,open_text_cosine,1,2,0.9057819843292236
gemma3:4b,20,creative,DE,open_text_cosine,1,2,0.6792833805084229
gemma3:4b,20,creative,TR,open_text_cosine,1,2,0.8013509511947632
llama3.2:1b,1,summarization,EN,open_text_cosine,1,2,0.91560161113739
llama3.2:1b,1,summarization,DE,open_text_cosine,1,2,0.853162407875061
llama3.2:1b,1,summarization,TR,open_text_cosine,1,2,0.8904237747192383
llama3.2:1b,2,summarization,EN,open_text_cosine,1,2,0.7956225872039795
llama3.2:1b,2,summarization,DE,open_text_cosine,1,2,0.946321666240692
llama3.2:1b,2,summarization,TR,open_text_cosine,1,2,0.9893641471862792
llama3.2:1b,3,summarization,EN,open_text_cosine,1,2,0.9116775393486024
llama3.2:1b,3,summarization,DE,open_text_cosine,1,2,1.0
llama3.2:1b,3,summarization,TR,open_text_cosine,1,2,0.9999998211860656
llama3.2:1b,4,summarization,EN,open_text_cosine,1,2,0.7606388330459595
llama3.2:1b,4,summarization,DE,open_text_cosine,1,2,0.97568941116333
llama3.2:1b,4,summarization,TR,open_text_cosine,1,2,0.998793363571167
llama3.2:1b,17,creative,EN,open_text_cosine,1,2,0.9063599109649658
llama3.2:1b,17,creative,DE,open_text_cosine,1,2,0.5748640894889832
llama3.2:1b,17,creative,TR,open_text_cosine,1,2,0.7388068437576294
llama3.2:1b,18,creative,EN,open_text_cosine,1,2,0.8121010661125183
llama3.2:1b,18,creative,DE,open_text_cosine,1,2,0.5982792377471924
llama3.2:1b,18,creative,TR,open_text_cosine,1,2,0.6865077614784241
llama3.2:1b,19,creative,EN,open_text_cosine,1,2,0.6320285797119141
llama3.2:1b,19,creative,DE,open_text_cosine,1,2,0.8334269523620605
llama3.2:1b,19,creative,TR,open_text_cosine,1,2,0.5715715885162354
llama3.2:1b,20,creative,EN,open_text_cosine,1,2,0.7638884782791138
llama3.2:1b,20,creative,DE,open_text_cosine,1,2,0.799558162689209
llama3.2:1b,20,creative,TR,open_text_cosine,1,2,0.6087930798530579
llama3.2:3b,1,summarization,EN,open_text_cosine,1,2,0.8930687308311462
llama3.2:3b,1,summarization,DE,open_text_cosine,1,2,1.0
llama3.2:3b,1,summarization,TR,open_text_cosine,1,2,0.9841537475585938
llama3.2:3b,2,summarization,EN,open_text_cosine,1,2,0.9987316727638244
llama3.2:3b,2,summarization,DE,open_text_cosine,1,2,0.9265214204788208
llama3.2:3b,2,summarization,TR,open_text_cosine,1,2,0.8924828767776489
llama3.2:3b,3,summarization,EN,open_text_cosine,1,2,0.7447143793106079
llama3.2:3b,3,summarization,DE,open_text_cosine,1,2,0.990811824798584
llama3.2:3b,3,summarization,TR,open_text_cosine,1,2,0.9833978414535522
llama3.2:3b,4,summarization,EN,open_text_cosine,1,2,0.8618103265762329
llama3.2:3b,4,summarization,DE,open_text_cosine,1,2,0.9055607318878174
llama3.2:3b,4,summarization,TR,open_text_cosine,1,2,1.000000238418579
llama3.2:3b,17,creative,EN,open_text_cosine,1,2,0.8151668310165405
llama3.2:3b,17,creative,DE,open_text_cosine,1,2,0.9387178421020508
llama3.2:3b,17,creative,TR,open_text_cosine,1,2,0.8182148933410645
llama3.2:3b,18,creative,EN,open_text_cosine,1,2,0.8585102558135986
llama3.2:3b,18,creative,DE,open_text_cosine,1,2,0.7432840466499329
llama3.2:3b,18,creative,TR,open_text_cosine,1,2,0.7576516270637512
llama3.2:3b,19,creative,EN,open_text_cosine,1,2,0.6796054244041443
llama3.2:3b,19,creative,DE,open_text_cosine,1,2,0.3746428489685058
llama3.2:3b,19,creative,TR,open_text_cosine,1,2,1.0
llama3.2:3b,20,creative,EN,open_text_cosine,1,2,0.5940658450126648
llama3.2:3b,20,creative,DE,open_text_cosine,1,2,0.7065321207046509
llama3.2:3b,20,creative,TR,open_text_cosine,1,2,0.7458951473236084
phi3:latest,1,summarization,EN,open_text_cosine,1,2,0.7745285034179688
phi3:latest,1,summarization,DE,open_text_cosine,1,2,0.9224179983139038
phi3:latest,1,summarization,TR,open_text_cosine,1,2,0.5449075102806091
phi3:latest,2,summarization,EN,open_text_cosine,1,2,0.9446016550064088
phi3:latest,2,summarization,DE,open_text_cosine,1,2,0.8455460071563721
phi3:latest,2,summarization,TR,open_text_cosine,1,2,0.8081873655319214
phi3:latest,3,summarization,EN,open_text_cosine,1,2,0.9364771246910096
phi3:latest,3,summarization,DE,open_text_cosine,1,2,0.964741587638855
phi3:latest,3,summarization,TR,open_text_cosine,1,2,0.8427536487579346
phi3:latest,4,summarization,EN,open_text_cosine,1,2,0.8348796367645264
phi3:latest,4,summarization,DE,open_text_cosine,1,2,0.9426157474517822
phi3:latest,4,summarization,TR,open_text_cosine,1,2,0.8809738159179688
phi3:latest,17,creative,EN,open_text_cosine,1,2,0.9059478640556335
phi3:latest,17,creative,DE,open_text_cosine,1,2,0.8305344581604004
phi3:latest,17,creative,TR,open_text_cosine,1,2,0.6289827227592468
phi3:latest,18,creative,EN,open_text_cosine,1,2,0.8353511095046997
phi3:latest,18,creative,DE,open_text_cosine,1,2,0.7541903853416443
phi3:latest,18,creative,TR,open_text_cosine,1,2,0.6330119371414185
phi3:latest,19,creative,EN,open_text_cosine,1,2,0.8063383102416992
phi3:latest,19,creative,DE,open_text_cosine,1,2,0.8785136342048645
