model_id,prompt_id,task_type,check_type,run_id,result,key_en,key_de,key_tr
gemma3:4b,5,classification,classification,1,match,negative,negative,negative
gemma3:4b,5,classification,classification,2,match,negative,negative,negative
gemma3:4b,6,classification,classification,1,match,disagree,disagree,disagree
gemma3:4b,6,classification,classification,2,match,disagree,disagree,disagree
gemma3:4b,7,classification,classification,1,match,complaint,complaint,complaint
gemma3:4b,7,classification,classification,2,match,complaint,complaint,complaint
gemma3:4b,8,classification,classification,1,match,informal,informal,informal
gemma3:4b,8,classification,classification,2,match,informal,informal,informal
gemma3:4b,9,reasoning,reasoning,1,match,A,A,A
gemma3:4b,9,reasoning,reasoning,2,match,A,A,A
gemma3:4b,10,reasoning,reasoning,1,match,60,60,60
gemma3:4b,10,reasoning,reasoning,2,match,60,60,60
gemma3:4b,11,reasoning,reasoning,1,mismatch,1,78,1
gemma3:4b,11,reasoning,reasoning,2,mismatch,1,78,1
gemma3:4b,12,reasoning,reasoning,1,match,B,B,B
gemma3:4b,12,reasoning,reasoning,2,match,B,B,B
gemma3:4b,13,factual,factual,1,match,H2O,H2O,H2O
gemma3:4b,13,factual,factual,2,match,H2O,H2O,H2O
gemma3:4b,14,factual,factual,1,match,1945,1945,1945
gemma3:4b,14,factual,factual,2,match,1945,1945,1945
gemma3:4b,15,factual,factual,1,match,Ottawa,Ottawa,Ottawa
gemma3:4b,15,factual,factual,2,match,Ottawa,Ottawa,Ottawa
gemma3:4b,16,factual,factual,1,match,George Orwell,George Orwell,George Orwell
gemma3:4b,16,factual,factual,2,match,George Orwell,George Orwell,George Orwell
gemma3:1b,5,classification,classification,1,match,negative,negative,negative
gemma3:1b,5,classification,classification,2,match,negative,negative,negative
gemma3:1b,6,classification,classification,1,match,disagree,disagree,disagree
gemma3:1b,6,classification,classification,2,match,disagree,disagree,disagree
gemma3:1b,7,classification,classification,1,match,complaint,complaint,complaint
gemma3:1b,7,classification,classification,2,match,complaint,complaint,complaint
gemma3:1b,8,classification,classification,1,match,formal,formal,formal
gemma3:1b,8,classification,classification,2,match,formal,formal,formal
gemma3:1b,9,reasoning,reasoning,1,match,A,A,A
gemma3:1b,9,reasoning,reasoning,2,match,A,A,A
gemma3:1b,10,reasoning,reasoning,1,mismatch,22.5,60,18
gemma3:1b,10,reasoning,reasoning,2,mismatch,22.5,60,90
gemma3:1b,11,reasoning,reasoning,1,mismatch,75,1,45
gemma3:1b,11,reasoning,reasoning,2,mismatch,75,60,1
